Index;Title
30;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0157-4">Mouse germ line mutations due to retrotransposon insertions</a> </h3>
31;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-00212-0">Phylogenetic analysis of the <em>Tc1/mariner</em> superfamily reveals the unexplored diversity of <em>pogo</em>-like elements</a> </h3>
32;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-0204-1">Characterising a human endogenous retrovirus(HERV)-derived tumour-associated antigen: enriched RNA-Seq analysis of HERV-K(HML-2) in mantle cell lymphoma cell lines</a> </h3>
33;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-00224-w">Comprehensive genomic analysis reveals dynamic evolution of endogenous retroviruses that code for retroviral-like protein domains</a> </h3>
34;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-00208-w">The UCSC repeat browser allows discovery and visualization of evolutionary conflict across repeat families</a> </h3>
35;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-0202-3">Integrating transposable elements in the 3D genome</a> </h3>
36;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-0205-0">Hybrid dysgenesis in <em>Drosophila virilis</em> results in clusters of mitotic recombination and loss-of-heterozygosity but leaves meiotic recombination unaltered</a> </h3>
37;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-00206-y">Finding and extending ancient simple sequence repeat-derived regions in the human genome</a> </h3>
38;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-0203-2">Identification and characterization of ERV-W-like sequences in Platyrrhini species provides new insights into the evolutionary history of ERV-W in primates</a> </h3>
39;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-00209-9">Variation in base composition underlies functional and evolutionary divergence in non-LTR retrotransposons</a> </h3>
40;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-00207-x">Integrated Mobile Element Scanning (ME-Scan) method for identifying multiple types of polymorphic mobile element insertions</a> </h3>
41;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-020-0201-4">LUMI-PCR: an Illumina platform ligation-mediated PCR protocol for integration site cloning, provides molecular quantitation of integration sites</a> </h3>
42;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0186-z">Nested plant LTR retrotransposons target specific regions of other elements, while all LTR retrotransposons often target palindromes and nucleosome-occupied regions: in silico study</a> </h3>
43;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0177-0">Variable genome evolution in fungi after transposon-mediated amplification of a housekeeping gene</a> </h3>
44;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0165-4">Characterization of a novel <em>Helitron</em> family in insect genomes: insights into classification, evolution and horizontal transfer</a> </h3>
45;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0184-1">High frequency of horizontal transfer in Jockey families (LINE order) of drosophilids</a> </h3>
46;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0160-9">Characterization of a relaxase belonging to the MOB<sub>T</sub> family, a widespread family in Firmicutes mediating the transfer of ICEs</a> </h3>
47;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0197-9">A benchmark of transposon insertion detection tools using real data</a> </h3>
48;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0168-1">A mobile restriction modification system consisting of methylases on the IncA/C plasmid</a> </h3>
49;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0166-3">Horizontal transfer of a retrotransposon between parasitic nematodes and the common shrew</a> </h3>
50;<h3 class="c-listing__title" itemprop="name"> <a itemprop="url" data-test="title-link" href="/articles/10.1186/s13100-019-0185-0">Sex and the TEs: transposable elements in sexual development and function in animals</a> </h3>
